#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1905.10   -0.031105    0.026433   -0.117586    0.022495  -0.0000642   0.0000000    0.237499    0.000000    0.018419    0.000000
   1905.15   -0.079973    0.027291   -0.055150    0.023470   0.0002165   0.0000000    0.237449    0.000000    0.017756    0.000000
   1905.20   -0.170956    0.022997   -0.070840    0.022131  -0.0003513   0.0000000    0.238337    0.000000    0.016580    0.000000
   1905.25   -0.180558    0.018229   -0.062159    0.018199   0.0000920   0.0000000    0.239113    0.000000    0.015690    0.000000
   1905.30   -0.171507    0.023246   -0.023534    0.023545   0.0001686   0.0000000    0.238978    0.000000    0.015184    0.000000
   1905.35   -0.196119    0.019234    0.044405    0.019683  -0.0001910   0.0000000    0.238697    0.000000    0.014534    0.000000
   1905.40   -0.159932    0.019622    0.077296    0.020547   0.0001802   0.0000000    0.237570    0.000000    0.014650    0.000000
   1905.45   -0.152914    0.020042    0.123655    0.021425   0.0000290   0.0000000    0.235537    0.000000    0.015675    0.000000
   1905.50   -0.110397    0.018162    0.156608    0.021274  -0.0001228   0.0000000    0.232664    0.000000    0.015305    0.000000
   1905.55   -0.056588    0.017763    0.176907    0.018956   0.0000755   0.0000000    0.230244    0.000000    0.015220    0.000000
   1905.60   -0.004122    0.018408    0.204720    0.019337   0.0001451   0.0000000    0.227508    0.000000    0.015461    0.000000
   1905.65    0.038178    0.017995    0.194050    0.018131  -0.0001032   0.0000000    0.225441    0.000000    0.015593    0.000000
   1905.70    0.075180    0.017600    0.177107    0.018673   0.0001258   0.0000000    0.225980    0.000000    0.015683    0.000000
   1905.75    0.089669    0.022714    0.174472    0.017058   0.0001595   0.0000000    0.226112    0.000000    0.016374    0.000000
   1905.80    0.108786    0.025741    0.144198    0.025090  -0.0003155   0.0000000    0.227904    0.000000    0.016432    0.000000
   1905.85    0.149525    0.023275    0.120658    0.020267   0.0002138   0.0000000    0.229854    0.000000    0.017517    0.000000
   1905.90    0.142709    0.024965    0.083105    0.020219  -0.0000360   0.0000000    0.231289    0.000000    0.018771    0.000000
   1905.95    0.133376    0.024032    0.061680    0.025313  -0.0001598   0.0000000    0.232440    0.000000    0.019292    0.000000
   1906.00    0.098769    0.023884    0.013568    0.019675   0.0001870   0.0000000    0.232629    0.000000    0.019690    0.000000
   1906.05    0.029940    0.021646   -0.031383    0.020362   0.0000182   0.0000000    0.232447    0.000000    0.019879    0.000000
   1906.10   -0.022529    0.024594   -0.051200    0.015703  -0.0000943   0.0000000    0.232373    0.000000    0.019158    0.000000
   1906.15   -0.048536    0.018032   -0.033042    0.019095   0.0000860   0.0000000    0.233052    0.000000    0.017882    0.000000
